,Index,JobLine,NormorlizedJobLine
15,15,"Conducted training on internal systems, local procedures and other technical subjects for company employees.",inform technolog manag conduct train intern system local procedur technic subject compani employe
16,16,"Coordinate with external technology vendors, internal staff members, and third-party consultants",inform technolog manag coordin extern technolog vendor intern staff member third parti consult
17,17,Responsible for the entire IT services and support operation of the 2nd largest Housing Authority in the nation.,inform technolog manag respons entir inform technolog servic support oper nd largest hous author nation
18,18,"Services and support include; Client Services Operations, CRM and ERP systems and application developments, and Infrastructure and Security.",inform technolog manag servic support includ client servic oper crm erp system applic develop infrastructur secur
19,19,Exceptionally fast-growing Insurance agency in Professional Liability Errors and Omissions Insurance,inform technolog manag except fast grow insur agenc profession liabil error omiss insur
20,20,"Demonstrated familiarity with latest hardware, software and networking technology.",inform technolog manag demonstr familiar latest hardwar softwar network technolog
21,21,Responsibilities include:.,inform technolog manag respons includ
22,22,"Led team of as many as 6 to 10 Technicians, their daily schedules and supervision in providing technical support, ensuring departmental applications are performing optimally, across the Riverview Medical Center and Bayshore Community Hospital campuses, covering one million+ square feet of hospital space, supporting 5,000+ users including administrative, medical and support staff in a high responsibility, mission-critical environments",inform technolog manag led team mani technician daili schedul supervis provid technic support ensur department applic perform optim across riverview medic center bayshor commun hospit campus cover one million squar feet hospit space support user includ administr medic support staff high respons mission critic environ
23,23,"Directed staff in troubleshooting desktop, peripherals, networking and server technical issues, including installation, maintenance and troubleshooting of PC software, printers, and peripherals, desktop, network and server technical issues",inform technolog manag direct staff troubleshoot desktop peripher network server technic issu includ instal mainten troubleshoot pc softwar printer peripher desktop network server technic issu
24,24,"Managed annual performance appraisals, development discussions and progressive discipline for all direct reports",inform technolog manag manag annual perform apprais develop discuss progress disciplin direct report
25,25,"Ensured staff had tools including equipment, software, supplies, technical training and customer service guidance to provide outstanding service to customers and team members, recognize and assess threats, avoid disasters and assess the impact on critical systems and functions",inform technolog manag ensur staff tool includ equip softwar suppli technic train custom servic guidanc provid outstand servic custom team member recogn assess threat avoid disast assess impact critic system function
26,26,"Supervised work with vendors, contractors and consultants to maintain/enhance security and disaster recovery",inform technolog manag supervis work vendor contractor consult maintain enhanc secur disast recoveri
27,27,Coordinated and planned all projects from start to finish,inform technolog manag coordin plan project start finish
28,28,Deployed Epic EHR to 4 different hospitals successfully within a year,inform technolog manag deploy epic ehr differ hospit success within year
29,29,"Rolled out new Konica MFP’s to two hospitals to reduce printer, faxes and copiers in to one device",inform technolog manag roll new konica mfp two hospit reduc printer fax copier one devic
30,30,"Deployed monthly security patches to 1,000 plus devices",inform technolog manag deploy monthli secur patch plu devic
31,31,"Managed ticket queues for both sites, ensured SLA were met and tickets resolved",inform technolog manag manag ticket queue site ensur sla met ticket resolv
32,32,"Entered payroll for all direct reports, ensured all equipment was inventoried and disposed of properly, performed some PC Technician Duties at both campuses",inform technolog manag enter payrol direct report ensur equip inventori dispos properli perform pc technician duti campus
33,33,"Administer LAN, PC, software development, AWIPS, GFE, Hazard Services, IDSS services, and CWSU systems locally, regionally, and nationally.",inform technolog manag administ lan pc softwar develop awip gfe hazard servic idss servic cwsu system local region nation
34,34,"Manage system and hardware support for several AWIPS systems, including SWPN, FSLC, BOU, CCBN, and TOAX.",inform technolog manag manag system hardwar support sever awip system includ swpn fslc bou ccbn toax
35,35,"Serve on numerous local, regional, and national teams including Central Region Tech Support Team, NWS Geospatial-Intelligence Workgroup, National GIS Viewer, CWSU Thin Client, SAFERNation AGOL Integration Working Group, GraphiDSS unified project, DssPacket, Hazard Services IOC, and ATAN team.",inform technolog manag serv numer local region nation team includ central region tech support team nw geospati intellig workgroup nation gi viewer cwsu thin client safern agol integr work group graphidss unifi project dsspacket hazard servic ioc atan team
36,36,"Initiated national support strategy for all 122+ NWS offices to upgrade from AWIPS I to AWIPS II, including step-by-step upgrade checklists and on-site and/or remote installs.",inform technolog manag initi nation support strategi nw offic upgrad awip awip ii includ step step upgrad checklist site remot instal
37,37,"Implemented support model for AWIPS Thin Client program for all 21 CWSUs, including remote installs, support, documentation, and training services. Developed strategy to transition support to Raytheon/NCF.",inform technolog manag implement support model awip thin client program cwsu includ remot instal support document train servic develop strategi transit support raytheon ncf
38,38,Served on profiler team to test/review contractor bids. Developed solution to add profiler datasets to AWIPS for review.,inform technolog manag serv profil team test review contractor bid develop solut add profil dataset awip review
39,39,National WarnGen team member instrumental in migrating NWS critical warning software (WarnGen) to AWIPS II.,inform technolog manag nation warngen team member instrument migrat nw critic warn softwar warngen awip ii
40,40,Graduated Colorado Leadership Development Program (Class of 2016).,inform technolog manag graduat colorado leadership develop program class
41,41,Served on NRAP NWS Culture Team. Led effort to develop national culture web portal for NWS.,inform technolog manag serv nrap nw cultur team led effort develop nation cultur web portal nw
42,42,"Launched numerous collaborative efforts among local, regional, and national offices.",inform technolog manag launch numer collabor effort among local region nation offic
43,43,"Initiated and strategized efforts to construct AWIPS testbed (CCBN) for national centers (WPC) at DSRC. This project included installation, configuration, and management of over 12 testbed workstations. Several national projects utilized this testbed, including projects from WPC and Tropical.",inform technolog manag initi strateg effort construct awip testb ccbn nation center wpc dsrc project includ instal configur manag testb workstat sever nation project util testb includ project wpc tropic
44,44,Served on AWIPS II Past Performance team.,inform technolog manag serv awip ii past perform team
45,45,"Strategized, configured, and managed parallel AWIPS I/II solution for NWS Boulder.",inform technolog manag strateg configur manag parallel awip ii solut nw boulder
46,46,Spearheaded several efforts for Hazard Services to develop national checklists and reference documentation. Supported numerous Hazard Services workshops.,inform technolog manag spearhead sever effort hazard servic develop nation checklist refer document support numer hazard servic workshop
47,47,"Initiated numerous efforts for Decision Support Service applications at the local, regional, and national levels.",inform technolog manag initi numer effort decis support servic applic local region nation level
48,48,"Administered LAN, PC, LINUX systems, software development, AWIPS, GFE, and IDSS services and operations. Developed hundreds of scripts, applications, and programs.",inform technolog manag administ lan pc linux system softwar develop awip gfe idss servic oper develop hundr script applic program
49,49,"Strategized and led large-scale efforts to help evolve and optimize forecasting procedures, tools, and services.",inform technolog manag strateg led larg scale effort help evolv optim forecast procedur tool servic
50,50,Implemented numerous efforts to develop projects and collaborate with surrounding offices and partners.,inform technolog manag implement numer effort develop project collabor surround offic partner
51,51,"All aspects of Infrastructure security, operations, upgrades, maintenance, reliability, and support.",inform technolog manag aspect infrastructur secur oper upgrad mainten reliabl support
52,52,"Supports Oracle, Yardi, MS-SQL, MySQL, Big Data, Regulatory SSL-TLS Conversion, Elite and legacy systems.",inform technolog manag support oracl yardi ms sql mysql big data regulatori ssl tl convers elit legaci system
53,53,Prior Positions: Lead & Sr. Application Manager,inform technolog manag prior posit lead sr applic manag
54,54,Closely collaborated with project members to identify and quickly address problems,inform technolog manag close collabor project member identifi quickli address problem
55,55,Performed detailed assessments of risks to determine constraints and develop mitigation strategies,inform technolog manag perform detail assess risk determin constraint develop mitig strategi
56,56,"Created full-fledged implementation plans, accounting for ROI, cost-benefit and other analyses",inform technolog manag creat full fledg implement plan account roi cost benefit analys
57,57,Maintained tactical control of project budgets and timelines to keep teams on-task and achieve schedule targets by using open source software where possible,inform technolog manag maintain tactic control project budget timelin keep team task achiev schedul target use open sourc softwar possibl
58,58,Technical lead on SOC2 type 2 audit for Infrastructure and Network Services teams,inform technolog manag technic lead soc type audit infrastructur network servic team
59,59,"Designed, built and managed Jira ITSM Service Desk with Insight Asset Management",inform technolog manag design built manag jira itsm servic desk insight asset manag
60,60,"Led an IT team managing technical issue and customer expectations in the US, UK, EU and APAC regions",inform technolog manag led inform technolog team manag technic issu custom expect us uk eu apac region
61,61,"Generated and updated internal Security Policy, Change Management Policy and additional documentation using NIST Cybersecurity Framework",inform technolog manag gener updat intern secur polici chang manag polici addit document use nist cybersecur framework
62,62,Served as member of Security Steering Committee answerable to the Board of Directors,inform technolog manag serv member secur steer committe answer board director
63,63,Technical Lead on GDPR/Privacy Shield/APPI/CCPA Compliance team,inform technolog manag technic lead gdpr privaci shield appi ccpa complianc team
64,64,Designed and maintained Nessus Vulnerability Scanner instances in AWS,inform technolog manag design maintain nessu vulner scanner instanc aw
65,65,Designed and implemented Change Management Workflow and ticketing in Jira Service Desk,inform technolog manag design implement chang manag workflow ticket jira servic desk
66,66,"Designed and implemented multi-VPC, multi-AZ, cross region AWS infrastructure siloed by environment (Dev, QA, CA, Prod, Ops, DevOps) in US, EU and APAC",inform technolog manag design implement multi vpc multi az cross region aw infrastructur silo environ dev qa ca prod op devop us eu apac
67,67,"Designed and/or implemented Duo MFA, Perimeter 81, Ivanti VPM, Provision SIEM, Sophos MTR, Barracuda ESS, Azure AD SSO and Thycotic Secret Server deployments in all applicable environments",inform technolog manag design implement duo mfa perimet ivanti vpm provis siem sopho mtr barracuda ess azur ad sso thycot secret server deploy applic environ
68,68,Built and configured Hardened CentOS 7 and 8 images for deployment across environments,inform technolog manag built configur harden cento imag deploy across environ
69,69,"Built and administered AWS Secure Bastions, VPNs, Gateways, WireGuard Connectors, etc",inform technolog manag built administ aw secur bastion vpn gateway wireguard connector etc
70,70,"Administered mix of Datacenter and AWS hosted servers and instances in US, EU and APAC",inform technolog manag administ mix datacent aw host server instanc us eu apac
71,71,Designed SharePoint Online and Files.com instances for secure sharing for internal and external users,inform technolog manag design sharepoint onlin file com instanc secur share intern extern user
72,72,Designed and implemented externally facing Jira Service Desk with Customer Support Lead,inform technolog manag design implement extern face jira servic desk custom support lead
73,73,"Managed, built, maintained, and automated deployment of multiple internet-facing Apache/NginX and Tomcat stacks",inform technolog manag manag built maintain autom deploy multipl internet face apach nginx tomcat stack
74,74,"Along with Director of IT, migrated remaining Colo Hosted Services to AWS EC2, ActiveMQ, RDS, CDN and S3",inform technolog manag along director inform technolog migrat remain colo host servic aw ec activemq rd cdn
75,75,"Scripted appropriate server-side functions using Bash, Python or PowerShell where appropriate",inform technolog manag script appropri server side function use bash python powershel appropri
76,76,Migrated on-prem Exchange 2010 DAG to Exchange 365,inform technolog manag migrat prem exchang dag exchang
77,77,Oversaw daily performance of computer systems and immediately responded to all issues to keep business up and running,inform technolog manag oversaw daili perform comput system immedi respond issu keep busi run
78,78,Worked Helpdesk issues for Microsoft Windows and other applications,inform technolog manag work helpdesk issu microsoft window applic
79,79,Managed all IT related systems necessary to maintain a productive and efficient work environment in the hospitality industry.,inform technolog manag manag inform technolog relat system necessari maintain product effici work environ hospit industri
80,80,"This included PMS, POS, Choice (franchise platform), Phone (SIP), Audio/Video, Electronic Door Locks, Surveillance Equipment, Wired/Wireless systems, and Networks.",inform technolog manag includ pm po choic franchis platform phone sip audio video electron door lock surveil equip wire wireless system network
81,81,"Managed network and system performance, conducting troubleshooting, security patching and maintenance.",inform technolog manag manag network system perform conduct troubleshoot secur patch mainten
82,82,Negotiated all technical contracts with vendors to ensure services which were outsourced were competitive.,inform technolog manag negoti technic contract vendor ensur servic outsourc competit
83,83,Achieved a 43% reduction in costs.,inform technolog manag achiev reduct cost
84,84,Managed IT budget and staff.,inform technolog manag manag inform technolog budget staff
85,85,Designed and built an intranet site which served primarily as a task management system but also provided a means of communication and information repository.,inform technolog manag design built intranet site serv primarili task manag system also provid mean commun inform repositori
86,86,"Conducted company-wide technology instruction, onboarding, and education.",inform technolog manag conduct compani wide technolog instruct onboard educ
87,87,Coordinated ongoing technical training and personal development classes for staff members.,inform technolog manag coordin ongo technic train person develop class staff member
88,88,Conferred with executives to advise and plan for short-term and long-term IT system requirements.,inform technolog manag confer execut advis plan short term long term inform technolog system requir
89,89,Led development and implementation of improvements for support and network operations.,inform technolog manag led develop implement improv support network oper
90,90,"Technical Services and Software Development, Marketing, Logistics and Data Specialist",inform technolog manag technic servic softwar develop market logist data specialist
91,91,"Project facilitation and moderator of steering committee for major IT initiatives to streamline and automate production workflows, asset processing, database management, and point-of-service documentation",inform technolog manag project facilit moder steer committe major inform technolog initi streamlin autom product workflow asset process databas manag point servic document
92,92,Facilitated design sessions with end users and tech community,inform technolog manag facilit design session end user tech commun
93,93,"Conceived and designed SOW for automation of specialized shop procedures, pressure test certification, and asset certification packages; reducing eighteen hour processes into 90 second automated workflow",inform technolog manag conceiv design sow autom special shop procedur pressur test certif asset certif packag reduc eighteen hour process second autom workflow
94,94,Collaborated with developers to improve software products for enterprise,inform technolog manag collabor develop improv softwar product enterpris
95,95,Architecture and design of mobile applications to move production to paper-less,inform technolog manag architectur design mobil applic move product paper less
96,96,Constant review and audit of software for efficiency gains and improvement,inform technolog manag constant review audit softwar effici gain improv
97,97,Analyzed ROI for all IT initiatives,inform technolog manag analyz roi inform technolog initi
98,98,Prioritized tasks to deploy MVP deliverables,inform technolog manag priorit task deploy mvp deliver
99,99,Facilitated iterative improvements to enhance feature set of new-developing and production applications,inform technolog manag facilit iter improv enhanc featur set new develop product applic
100,100,"Optimization of user experience on mobile devices, websites, and customer facing cloud portal",inform technolog manag optim user experi mobil devic websit custom face cloud portal
101,101,Initiated automation to validate data during mission critical test processes to reduce human error,inform technolog manag initi autom valid data mission critic test process reduc human error
102,102,Designed UI and UE for proprietary image assembly program for several PSLs,inform technolog manag design ui ue proprietari imag assembl program sever psl
103,103,"Defined documentation, deployment, and training in the development of proprietary middleware software, linking SQL data, test modules, ERP, and cloud portal to build customer facing certifications",inform technolog manag defin document deploy train develop proprietari middlewar softwar link sql data test modul erp cloud portal build custom face certif
104,104,"Managed test groups, by collecting and organizing user feedback from internal and external users to improve software through change orders",inform technolog manag manag test group collect organ user feedback intern extern user improv softwar chang order
105,105,Managed $1.5 million of medical grade technology/inventory for biology based safety division,inform technolog manag manag million medic grade technolog inventori biolog base safeti divis
106,106,Admin and trainer on O365 platforms,inform technolog manag admin trainer platform
107,107,"Leveraged relationships with SQL data specialists, programmers, and vendors to resolve a multitude of unique issues and day-to-day tasks",inform technolog manag leverag relationship sql data specialist programm vendor resolv multitud uniqu issu day day task
108,108,"Developed standards and best practices for multi-location domain, including endpoint hardware, network gear, enterprise level telecom, and connectivity",inform technolog manag develop standard best practic multi locat domain includ endpoint hardwar network gear enterpris level telecom connect
109,109,"Architecture, administration and content management of SharePoint environments",inform technolog manag architectur administr content manag sharepoint environ
110,110,Global admin,inform technolog manag global admin
111,111,"Of software systems including: Office365, Sage 50, CRM, KnowBe4, Triton, Firebird, Ajax, Vulcan, ADP and TrakQuip",inform technolog manag softwar system includ offic sage crm knowb triton firebird ajax vulcan adp trakquip
112,112,Support and management of multi-server environment,inform technolog manag support manag multi server environ
113,113,Triage and planning for general break-fix utilizing vendor partners,inform technolog manag triag plan gener break fix util vendor partner
114,114,"Orchestrated migration and streamlining of company's IT assets, telecom, website, and email",inform technolog manag orchestr migrat streamlin compani inform technolog asset telecom websit email
115,115,Photographed all product lines and developed marketing assets,inform technolog manag photograph product line develop market asset
116,116,"Budgeting of Telecom, IT, software development and marketing services.",inform technolog manag budget telecom inform technolog softwar develop market servic
117,117,"Managed network and system performance, conducting troubleshooting, security patching and maintenance.",inform technolog manag manag network system perform conduct troubleshoot secur patch mainten
118,118,Communicated with executive team and VP to maximize development efficiencies and resolve technology issues.,inform technolog manag commun execut team vp maxim develop effici resolv technolog issu
119,119,Guided organizational technology strategy and roadmaps.,inform technolog manag guid organiz technolog strategi roadmap
120,120,Conferred with executives to advise and plan for short-term and long-term IT system upgrade needs.,inform technolog manag confer execut advis plan short term long term inform technolog system upgrad need
121,121,"Supported phone, photocopier, fax machine and other physical equipment.",inform technolog manag support phone photocopi fax machin physic equip
122,122,Closely collaborated with project members to identify and quickly address problems.,inform technolog manag close collabor project member identifi quickli address problem
123,123,"Led technology selection and rollout, focusing on organizational planning, provider contracts and supplier service-level agreements.",inform technolog manag led technolog select rollout focus organiz plan provid contract supplier servic level agreement
124,124,"Built, customized and repaired technology based on staff requests.",inform technolog manag built custom repair technolog base staff request
125,125,"Demonstrated familiarity with latest hardware, software and networking technology, as well as industry trends.",inform technolog manag demonstr familiar latest hardwar softwar network technolog well industri trend
126,126,Coordinated technical training for staff members on internally developed software solutions.,inform technolog manag coordin technic train staff member intern develop softwar solut
127,127,"Identified computer hardware and network system issues, performing troubleshooting techniques for remediation.",inform technolog manag identifi comput hardwar network system issu perform troubleshoot techniqu remedi
128,128,"Played key role in on-going network design, reevaluation and optimization to keep pace with company growth.",inform technolog manag play key role go network design reevalu optim keep pace compani growth
129,129,"Oversee application engineers while supporting Hospitality and Casino Gaming systems – Casino, Hotel, Food and Beverage/Point of Sale applications (including architecture, auditing, reconciliation, and regulatory compliance).",inform technolog manag overse applic engin support hospit casino game system casino hotel food beverag point sale applic includ architectur audit reconcili regulatori complianc
130,130,Provide technical and analytic guidance and research for internal controls and gaming control regulation from auditing to tracking fraud across the casino floor.,inform technolog manag provid technic analyt guidanc research intern control game control regul audit track fraud across casino floor
131,131,"Accounting and auditing reconciliation, research and analytic tracking through database tools, knowledge of security and administration baselines to align to state regulatory requirement.",inform technolog manag account audit reconcili research analyt track databas tool knowledg secur administr baselin align state regulatori requir
132,132,Streamlined decision support reporting process by tailoring methodologies and meeting compliance requirements through implementation of several initiative.,inform technolog manag streamlin decis support report process tailor methodolog meet complianc requir implement sever initi
133,133,"Supervised and mentored several professionals, including project managers, QA engineers, operators, system administrators and software engineers.",inform technolog manag supervis mentor sever profession includ project manag qa engin oper system administr softwar engin
134,134,"Developed information technology budget, implementing cost-cutting initiatives to stay on track.",inform technolog manag develop inform technolog budget implement cost cut initi stay track
135,135,"Examined established systems for invoicing, accounting, reporting and data abilities and provided updates.",inform technolog manag examin establish system invoic account report data abil provid updat
136,136,Connected with customers to relate any system changes and integrate customer feedback into improvement processes.,inform technolog manag connect custom relat system chang integr custom feedback improv process
137,137,Produced status reports for customers and senior management.,inform technolog manag produc statu report custom senior manag
138,138,"Delivered consistent and quality mentoring, training and onboarding for teams of contractors and staff members.",inform technolog manag deliv consist qualiti mentor train onboard team contractor staff member
139,139,"Hired, trained and managed employees, including preparing and conducting performance evaluations.",inform technolog manag hire train manag employe includ prepar conduct perform evalu
140,140,Reviewed network policies and infrastructure to evaluate sub-optimal areas and develop solutions.,inform technolog manag review network polici infrastructur evalu sub optim area develop solut
141,141,"Kept project teams on-task with proactive control of budgets, schedules and scopes.",inform technolog manag kept project team task proactiv control budget schedul scope
142,142,Created and enforced information technology budget.,inform technolog manag creat enforc inform technolog budget
143,143,"Implemented multiple software conversions, including desktop setup and staff training.",inform technolog manag implement multipl softwar convers includ desktop setup staff train
144,144,Oversaw day-to-day production activities in accordance with business objectives.,inform technolog manag oversaw day day product activ accord busi object
145,145,Worked collaboratively with functional leaders to implement new procedures and corrective actions to improve quality.,inform technolog manag work collabor function leader implement new procedur correct action improv qualiti
146,146,"Defined, implemented and revised operational policies and guidelines.",inform technolog manag defin implement revis oper polici guidelin
147,147,Monitored office workflow and administrative processes to keep operations running smoothly.,inform technolog manag monitor offic workflow administr process keep oper run smoothli
148,148,"Assisted in recruiting, hiring and training of team members.",inform technolog manag assist recruit hire train team member
149,149,"Recruited, hired and trained initial personnel, working to establish key internal functions and outline scope of positions for new organization.",inform technolog manag recruit hire train initi personnel work establish key intern function outlin scope posit new organ
150,150,Maintained knowledge of advances in information technology systems and applications.,inform technolog manag maintain knowledg advanc inform technolog system applic
151,151,Met with stakeholders to collaborate and resolve problems.,inform technolog manag met stakehold collabor resolv problem
152,152,Provided company users with tech support for IT problems and account maintenance.,inform technolog manag provid compani user tech support inform technolog problem account mainten
153,153,Evaluated organization's technology to recommend upgrades for hardware and software.,inform technolog manag evalu organ technolog recommend upgrad hardwar softwar
154,154,"Installed and supported hardware and software for desktops, servers and printers.",inform technolog manag instal support hardwar softwar desktop server printer
155,155,Worked closely with end users to solve problems related to hardware and software.,inform technolog manag work close end user solv problem relat hardwar softwar
156,156,Trained employees on additional job positions to maintain coverage of roles.,inform technolog manag train employe addit job posit maintain coverag role
157,157,Assigned tasks to associates to fit skill levels and maximize team performance.,inform technolog manag assign task associ fit skill level maxim team perform
158,158,Recruited and hired qualified candidates to fill open positions.,inform technolog manag recruit hire qualifi candid fill open posit
159,159,Led team meetings and one-on-one coaching sessions to continuously improve performance.,inform technolog manag led team meet one one coach session continu improv perform
160,160,Communicated company directives and programs to associates and ensured all follow-up items were completed accurately and timely.,inform technolog manag commun compani direct program associ ensur follow item complet accur time
161,161,"Leveraged leadership skills to identify deficiencies and opportunities to improve policies, procedures and controls.",inform technolog manag leverag leadership skill identifi defici opportun improv polici procedur control
162,162,"Minimized staff turnover through appropriate selection, orientation and training.",inform technolog manag minim staff turnov appropri select orient train
163,163,Monitored staff performance and addressed issues.,inform technolog manag monitor staff perform address issu
164,164,"Enhanced team member performance through use of strategic and tactical approaches, motivational coaching and training.",inform technolog manag enhanc team member perform use strateg tactic approach motiv coach train
165,165,Exercised good judgment and decision-making in escalating concerns and resolving issues.,inform technolog manag exercis good judgment decis make escal concern resolv issu
166,166,Entered time and attendance logs in preparation for payroll.,inform technolog manag enter time attend log prepar payrol
167,167,Enforced customer service standards and resolved customer problems to uphold quality service.,inform technolog manag enforc custom servic standard resolv custom problem uphold qualiti servic
168,168,Led a team of 40+ employees,inform technolog manag led team employe
169,169,Maintained high standard of quality and efficiency while overseeing documentation and reporting.,inform technolog manag maintain high standard qualiti effici overse document report
170,170,Optimized team productivity by effectively managing equipment and supply inventory.,inform technolog manag optim team product effect manag equip suppli inventori
171,171,Provided useful support to  [Type]  projects by managing all logistics and materials planning needs.,inform technolog manag provid use support type project manag logist materi plan need
172,172,Developed advanced skills in  [Software]  by using it regularly to complete  [Task] .,inform technolog manag develop advanc skill softwar use regularli complet task
173,173,Completed  [Task]  and  [Task]  according to  [Industry]  regulatory standards and best practices.,inform technolog manag complet task task accord industri regulatori standard best practic
174,174,"Fostered relationships with patients to minimize patient anxiety and distress, and enhance cooperation.",inform technolog manag foster relationship patient minim patient anxieti distress enhanc cooper
175,175,"Kept project teams on-task with proactive control of budgets, schedules and scopes.",inform technolog manag kept project team task proactiv control budget schedul scope
176,176,Connected with customers  [Timeframe]  to relate any system changes and integrate customer feedback into improvement processes.,inform technolog manag connect custom timefram relat system chang integr custom feedback improv process
177,177,Achieved client vision and objectives through effective strategy development and execution in coordination with management teams.,inform technolog manag achiev client vision object effect strategi develop execut coordin manag team
178,178,"Globally managed several satellite IT locations, maintaining secure and operational corporate infrastructure through  [Technique]  and  [Skill] .",inform technolog manag global manag sever satellit inform technolog locat maintain secur oper corpor infrastructur techniqu skill
179,179,"Provided technology consultation for growing businesses, making recommendations and upgrading existing systems.",inform technolog manag provid technolog consult grow busi make recommend upgrad exist system
180,180,Produced status reports for customers and senior management.,inform technolog manag produc statu report custom senior manag
181,181,"Managed more than  [Number]  software engineers, system administrators, NOC operators, QA engineers and project managers.",inform technolog manag manag number softwar engin system administr noc oper qa engin project manag
182,182,"Oversaw  [Type]  projects, including requirements analysis, milestone management and stakeholder relations.",inform technolog manag oversaw type project includ requir analysi mileston manag stakehold relat
183,183,Streamlined decision support reporting process by tailoring methodologies and meeting compliance requirements through implementation of  [Type]  initiative.,inform technolog manag streamlin decis support report process tailor methodolog meet complianc requir implement type initi
184,184,"Delivered consistent and quality mentoring, training and onboarding for teams of contractors and staff members.",inform technolog manag deliv consist qualiti mentor train onboard team contractor staff member
185,185,Completed thorough risk assessments and deployed management and response strategies to prevent roadblocks.,inform technolog manag complet thorough risk assess deploy manag respons strategi prevent roadblock
186,186,"Updated project plans based on changing objectives, specifications and staff availability.",inform technolog manag updat project plan base chang object specif staff avail
187,187,Organized and assessed  [Type]  data using  [Software] .,inform technolog manag organ assess type data use softwar
188,188,"Taught and supervised  [Number]  employees of  [Type]  team through effective coaching, disciplined leadership and  [Skill] .",inform technolog manag taught supervis number employe type team effect coach disciplin leadership skill
189,189,Optimized  [Description]  standards for entire IT team.,inform technolog manag optim descript standard entir inform technolog team
190,190,Maintained constant and timely service for  [Type]  servers.,inform technolog manag maintain constant time servic type server
191,191,"Led and assisted Customer Database, Company website and Financial software migration for the organization by working and coordinating with consultants and developers for integrations.",inform technolog manag led assist custom databas compani websit financi softwar migrat organ work coordin consult develop integr
192,192,"Guide implementation of company-wide enterprise security strategy for network and hardware, disaster recovery, data protection, and endpoint protection.",inform technolog manag guid implement compani wide enterpris secur strategi network hardwar disast recoveri data protect endpoint protect
193,193,Maintain control of project budgets and timelines to keep teams on-task and achieve schedule targets.,inform technolog manag maintain control project budget timelin keep team task achiev schedul target
194,194,"Facilitate the best user experience through continuous support, training classes, webinars, improvements and communication of the organization's policies and changes.",inform technolog manag facilit best user experi continu support train class webinar improv commun organ polici chang
195,195,"Coordinate projects in Marketing, SEO, HR, Developers, and Publishing including defining scope, managing milestones and maintaining strong relationships with all department heads.",inform technolog manag coordin project market seo hr develop publish includ defin scope manag mileston maintain strong relationship depart head
196,196,"Work closely with the executive team and Board members to plan, develop, coordinate and execute technology strategies aligned to the organization's vision, mission, and purpose.",inform technolog manag work close execut team board member plan develop coordin execut technolog strategi align organ vision mission purpos
197,197,"Revitalized relationships between business end-users, IT staff members, and executive members increasing productivity, minimizing downtime, enhancing user experience, and internal customer satisfaction.",inform technolog manag revit relationship busi end user inform technolog staff member execut member increas product minim downtim enhanc user experi intern custom satisfact
198,198,Increased productivity by %15.,inform technolog manag increas product
